taxid	count	name	rank	superkindom	phylum	class	order	family	genus	species
1540098	1	Escherichia phage Seurat	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Seuratvirus	Escherichia virus Seurat
1540099	1	Salmonella virus Stitch	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Demerecviridae	Epseptimavirus	Salmonella virus Stitch
1540823	1	Salmonella phage LSPA1	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Jerseyvirus	Salmonella virus LSPA1
1541119	1	Dinocampus coccinellae paralysis virus	species	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	Iflavirus	Dinocampus coccinellae paralysis virus
1541205	1	Bat Hp-betacoronavirus/Zhejiang2013	no rank	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Bat Hp-betacoronavirus Zhejiang2013
1541211	1	Cripavirus NB-1/2011/HUN	species	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	Cripavirus	Cripavirus NB-1/2011/HUN
154122	1	Mink calicivirus	species	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Vesivirus	Mink calicivirus
1541686	1	Campylobacter phage PC14	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Fletchervirus	Campylobacter phage PC14
1541819	1	Mycobacterium phage Omnicron	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Timquatrovirus	Mycobacterium phage Omnicron
1541821	1	Listeria phage WIL-1	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Pecentumvirus	Listeria virus WIL1
1541823	1	Mycobacterium phage Llama	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Cheoctovirus	Mycobacterium phage Llama
1541824	1	Mycobacterium phage Ariel	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Omegavirus	Mycobacterium phage Ariel
1541825	1	Shigella phage Shf125875	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Mosigvirus	Shigella virus UTAM
1541883	1	Escherichia phage vB_EcoM-ep3	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Jilinvirus	Escherichia virus ep3
1542090	1	Pseudomonas phage vB_Pae_PS44	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Pbunavirus	Pseudomonas virus PS44
1542092	1	Pseudomonas phage vB_PaeM_PS24	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Nankokuvirus	Pseudomonas virus PS24
1542477	1	Prochlorococcus phage P-TIM68	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae		Prochlorococcus phage P-TIM68
1542498	1	Lelliottia phage phD2B	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Tuodvirus	Lelliottia virus phD2B
1542743	1	Caribou feces-associated gemycircularvirus	no rank	Viruses	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Genomoviridae	Gemykrogvirus	Gemykrogvirus carib1
1542745	1	Ancient caribou feces associated virus	species	Viruses						Ancient caribou feces associated virus
1542912	1	Mycobacterium phage VohminGhazi	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Fromanvirus	Mycobacterium phage VohminGhazi
1543199	1	Salmonella phage BP12A	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Berlinvirus	Salmonella virus BP12A
1543201	1	Salmonella phage BP12B	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Autographiviridae	Zindervirus	Salmonella virus BP12B
1543203	1	Salmonella phage BP12C	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Chivirus	Salmonella virus BP12C
1543205	1	Salmonella phage BP63	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Rosemountvirus	Salmonella virus BP63
